caste,colony_code,freq,type,individual_ID
PK,TI129,1,Stomodeal,PK_TI129
PK,TI129,3,Stomodeal,PK_TI129
PK,TI129,0,Stomodeal,PK_TI129
PK,TI129,0,Stomodeal,PK_TI129
PK,TI129,0,Stomodeal,PK_TI129
PK,TI129,2,Stomodeal,PK_TI129
PK,TI129,2,Stomodeal,PK_TI129
PK,TI129,3,Stomodeal,PK_TI129
PK,TI129,1,Stomodeal,PK_TI129
PK,TI129,0,Stomodeal,PK_TI129
PK,TI129,1,Stomodeal,PK_TI129
PK,TI129,4,Stomodeal,PK_TI129
PK,190510A,3,Stomodeal,PK_190510A
PK,190510A,2,Stomodeal,PK_190510A
PK,190510A,0,Stomodeal,PK_190510A
PK,190510A,3,Stomodeal,PK_190510A
PK,190510A,1,Stomodeal,PK_190510A
PK,190510A,1,Stomodeal,PK_190510A
PK,190510A,3,Stomodeal,PK_190510A
PK,190510A,1,Stomodeal,PK_190510A
PK,190510A,1,Stomodeal,PK_190510A
PK,190510A,0,Stomodeal,PK_190510A
PK,190510A,2,Stomodeal,PK_190510A
PK,190510A,2,Stomodeal,PK_190510A
PK,ET062,1,Stomodeal,PK_ET062
PK,ET062,1,Stomodeal,PK_ET062
PK,ET062,0,Stomodeal,PK_ET062
PK,ET062,1,Stomodeal,PK_ET062
PK,ET062,0,Stomodeal,PK_ET062
PK,ET062,4,Stomodeal,PK_ET062
PK,ET062,0,Stomodeal,PK_ET062
PK,ET062,2,Stomodeal,PK_ET062
PK,ET062,2,Stomodeal,PK_ET062
PK,ET062,0,Stomodeal,PK_ET062
PK,ET062,0,Stomodeal,PK_ET062
PK,ET062,0,Stomodeal,PK_ET062
SQ,TI129,1,Stomodeal,SQ1_T129
SQ,TI129,0,Stomodeal,SQ2_T129
SQ,TI129,0,Stomodeal,SQ3_T129
SQ,TI129,0,Stomodeal,SQ4_T129
SQ,TI129,1,Stomodeal,SQ5_T129
SQ,TI129,3,Stomodeal,SQ6_T129
SQ,TI129,1,Stomodeal,SQ7_T129
SQ,TI129,2,Stomodeal,SQ8_T129
SQ,TI129,3,Stomodeal,SQ9_T129
SQ,TI129,2,Stomodeal,SQ10_T129
SQ,TI129,0,Stomodeal,SQ11_T129
SQ,TI129,7,Stomodeal,SQ12_T129
SQ,190510A,1,Stomodeal,SQ1_190510A
SQ,190510A,1,Stomodeal,SQ2_190510A
SQ,190510A,2,Stomodeal,SQ3_190510A
SQ,190510A,0,Stomodeal,SQ4_190510A
SQ,190510A,0,Stomodeal,SQ5_190510A
SQ,190510A,3,Stomodeal,SQ6_190510A
SQ,190510A,4,Stomodeal,SQ7_190510A
SQ,190510A,1,Stomodeal,SQ8_190510A
SQ,190510A,1,Stomodeal,SQ9_190510A
SQ,190510A,2,Stomodeal,SQ10_190510A
SQ,190510A,4,Stomodeal,SQ11_190510A
SQ,190510A,4,Stomodeal,SQ12_190510A
SQ,ET062,0,Stomodeal,SQ1_ET062
SQ,ET062,3,Stomodeal,SQ2_ET062
SQ,ET062,0,Stomodeal,SQ3_ET062
SQ,ET062,3,Stomodeal,SQ4_ET062
SQ,ET062,3,Stomodeal,SQ5_ET062
SQ,ET062,0,Stomodeal,SQ6_ET062
SQ,ET062,0,Stomodeal,SQ7_ET062
SQ,ET062,3,Stomodeal,SQ8_ET062
SQ,ET062,3,Stomodeal,SQ9_ET062
SQ,ET062,2,Stomodeal,SQ10_ET062
SQ,ET062,0,Stomodeal,SQ11_ET062
SQ,ET062,2,Stomodeal,SQ12_ET062
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,TI129,0,Proctodeal,PK_TI129
PK,190510A,1,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,2,Proctodeal,PK_190510A
PK,190510A,1,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,190510A,0,Proctodeal,PK_190510A
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,1,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,1,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
PK,ET062,0,Proctodeal,PK_ET062
SQ,TI129,3,Proctodeal,SQ1_T129
SQ,TI129,1,Proctodeal,SQ2_T129
SQ,TI129,0,Proctodeal,SQ3_T129
SQ,TI129,0,Proctodeal,SQ4_T129
SQ,TI129,3,Proctodeal,SQ5_T129
SQ,TI129,0,Proctodeal,SQ6_T129
SQ,TI129,0,Proctodeal,SQ7_T129
SQ,TI129,0,Proctodeal,SQ8_T129
SQ,TI129,0,Proctodeal,SQ9_T129
SQ,TI129,0,Proctodeal,SQ10_T129
SQ,TI129,0,Proctodeal,SQ11_T129
SQ,TI129,0,Proctodeal,SQ12_T129
SQ,190510A,3,Proctodeal,SQ1_190510A
SQ,190510A,0,Proctodeal,SQ2_190510A
SQ,190510A,0,Proctodeal,SQ3_190510A
SQ,190510A,0,Proctodeal,SQ4_190510A
SQ,190510A,0,Proctodeal,SQ5_190510A
SQ,190510A,0,Proctodeal,SQ6_190510A
SQ,190510A,0,Proctodeal,SQ7_190510A
SQ,190510A,3,Proctodeal,SQ8_190510A
SQ,190510A,0,Proctodeal,SQ9_190510A
SQ,190510A,0,Proctodeal,SQ10_190510A
SQ,190510A,0,Proctodeal,SQ11_190510A
SQ,190510A,0,Proctodeal,SQ12_190510A
SQ,ET062,0,Proctodeal,SQ1_ET062
SQ,ET062,0,Proctodeal,SQ2_ET062
SQ,ET062,1,Proctodeal,SQ3_ET062
SQ,ET062,0,Proctodeal,SQ4_ET062
SQ,ET062,0,Proctodeal,SQ5_ET062
SQ,ET062,0,Proctodeal,SQ6_ET062
SQ,ET062,0,Proctodeal,SQ7_ET062
SQ,ET062,3,Proctodeal,SQ8_ET062
SQ,ET062,0,Proctodeal,SQ9_ET062
SQ,ET062,0,Proctodeal,SQ10_ET062
SQ,ET062,1,Proctodeal,SQ11_ET062
SQ,ET062,0,Proctodeal,SQ12_ET062